"iWine","Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","WindowSource","PNotes","PScore","WA","WAWeb","WS","WSWeb"
"9000001","Red","Red","Dry","750ml","CHF","58","52","1","1","0","2020","Tenuta del Sole Riserva","Italy, Toscana, Chianti Classico DOCG","Tenuta del Sole","Sangiovese","Sangiovese","Riserva","Unknown","Italy","Toscana","Chianti","Chianti Classico DOCG","2025","2032","Community Average","Esempio import CellarTracker 01","","93","https://example.com/wa-01","",""
"9000002","Red","Red","Dry","750ml","CHF","76","69","1","1","0","2019","Podere Alto Gran Selezione","Italy, Toscana, Chianti Classico DOCG","Podere Alto","Sangiovese","Sangiovese","Gran Selezione","Unknown","Italy","Toscana","Chianti","Chianti Classico DOCG","2026","2035","Community Average","Esempio import CellarTracker 02","","95","https://example.com/wa-02","",""
"9000003","Red","Red","Dry","750ml","CHF","92","85","1","1","0","2018","Cascina Rovere Barolo","Italy, Piemonte, Barolo DOCG","Cascina Rovere","Nebbiolo","Nebbiolo","Barolo","Unknown","Italy","Piemonte","Langhe","Barolo DOCG","2027","2040","Community Average","Esempio import CellarTracker 03","","94","https://example.com/wa-03","",""
"9000004","Red","Red","Dry","750ml","CHF","110","98","1","1","0","2017","Vigneti Bianchi Brunello di Montalcino","Italy, Toscana, Brunello di Montalcino DOCG","Vigneti Bianchi","Sangiovese","Sangiovese","Brunello di Montalcino","Unknown","Italy","Toscana","Montalcino","Brunello di Montalcino DOCG","2026","2038","Community Average","Esempio import CellarTracker 04","","96","https://example.com/wa-04","",""
"9000005","White - Sparkling","White","Sparkling","750ml","CHF","88","82","1","1","0","2016","Maison Étoile Brut Millésimé","France, Champagne","Maison Étoile","Chardonnay Blend","Chardonnay","Brut Millésimé","Unknown","France","Champagne","Unknown","Champagne","2024","2030","Community Average","Esempio import CellarTracker 05","","92","https://example.com/wa-05","",""
"9000006","White","White","Dry","750ml","CHF","45","40","1","1","0","2022","Cantina Lago Bianco","Switzerland, Ticino","Cantina Lago","Chardonnay","Chardonnay","Bianco","Unknown","Switzerland","Ticino","Unknown","Ticino DOC","2024","2029","Community Average","Esempio import CellarTracker 06","","","","90","https://example.com/ws-06"
"9000007","Red","Red","Dry","750ml","CHF","64","58","1","1","0","2021","Fattoria del Borgo Vino Nobile","Italy, Toscana, Montepulciano DOCG","Fattoria del Borgo","Sangiovese","Sangiovese","Vino Nobile","Unknown","Italy","Toscana","Montepulciano","Vino Nobile di Montepulciano DOCG","2025","2033","Community Average","Esempio import CellarTracker 07","","91","https://example.com/wa-07","",""
"9000008","Red","Red","Dry","750ml","CHF","130","118","1","1","0","2015","Château des Pins","France, Bordeaux, Saint-Émilion","Château des Pins","Red Bordeaux Blend","Red Bordeaux Blend","Grand Vin","Unknown","France","Bordeaux","Saint-Émilion","Saint-Émilion Grand Cru","2024","2035","Community Average","Esempio import CellarTracker 08","","94","https://example.com/wa-08","",""
"9000009","Red","Red","Dry","750ml","CHF","72","65","1","1","0","2020","Azienda Collina Amarone","Italy, Veneto, Amarone della Valpolicella DOCG","Azienda Collina","Corvina Blend","Corvina","Amarone","Unknown","Italy","Veneto","Valpolicella","Amarone della Valpolicella DOCG","2026","2036","Community Average","Esempio import CellarTracker 09","","93","https://example.com/wa-09","",""
"9000010","White","White","Dry","750ml","CHF","55","49","1","1","0","2021","Domaine de la Rivière Chablis","France, Burgundy, Chablis","Domaine de la Rivière","Chardonnay","Chardonnay","Chablis","Unknown","France","Burgundy","Chablis","Chablis","2024","2031","Community Average","Esempio import CellarTracker 10","","92","https://example.com/wa-10","",""
"9000011","Red","Red","Dry","750ml","CHF","105","96","1","1","0","2019","Bodega Horizonte Reserva","Spain, Rioja","Bodega Horizonte","Tempranillo","Tempranillo","Reserva","Unknown","Spain","Rioja","Unknown","Rioja DOCa","2025","2034","Community Average","Esempio import CellarTracker 11","","94","https://example.com/wa-11","",""
